US GDP Per Capita
2881.1
2934.553
3107.937
3232.208
3423.396
3664.802
3972.123
4152.02
4491.424
4802.642
4997.757
5360.178
5836.224
6461.736
6948.198
7516.68
8297.292
9142.795
10225.307
11301.682
12179.558
13526.187
13932.678
15000.086
16539.383
17588.81
18427.288
19393.782
20703.152
22039.227
23037.941
23443.263
24411.143
25326.736
26577.761
27559.167
28772.356
30281.636
31687.052
33332.139
35081.923
35912.333
36819.445
38224.739
40292.304
42516.393
44622.642
46349.115
46759.56
45305.052
46611.975
48111.967
